No.,English,IPA(美式),近似?,出现页,出现次数
496,boxercise,/bɑksɛrrsɪs/,是,253,1
497,boxing gloves,/bˈɑksɪŋ glˈʌvz/,,239,1
498,boxing ring,/bˈɑksɪŋ rˈɪŋ/,,239,1
499,boy,/bɑi/,,25,1
500,boyfriend,/bˈɔɪfrˌɛnd/,,26,1
501,bra,/brˈɑ/,,37,1
502,brace,/brˈeɪs/,,52,1
503,bracelet,/brˈeɪslət/,,38,1
504,brain,/breɪn/,,21,1
505,brake,/breɪk/,,202,4
506,brake block,/brˈeɪk blˈɑk/,,209,1
507,brake fluid reservoir,/brˈeɪk flˈuəd rˈɛzəvwˌɑr/,,204,1
508,brake lever,/brˈeɪk lˈɛvɚ/,,209,1
509,brake pedal,/brˈeɪk pˈɛdəl/,,207,1
510,bran,/brˈæn/,,132,1
511,branch,/bræntʃ/,,177,2
512,brandy,/ˈbrændi/,,147,1
513,brass,/bræs/,,259,1
514,Brazil,/brəˈzil/,,317,1
515,brazil nut,/brəzˈɪl nˈʌt/,,131,1
516,bread,/bred/,,159,1
517,bread knife,/brˈɛd nˈaɪf/,,70,1
518,bread roll,/brˈɛd roʊl/,,145,1
519,breadcrumbs,/brˈɛdkrˈʌm/,,141,1
520,breadfruit,/brˈɛdfrˌut/,,126,1
521,breads and flours,/brˈɛdz ənd flˈaʊɚz/,,140,1
522,break a record,/brˈeɪk ə rəkˈɔrd/,,236,1
523,break waters,/brˈeɪk wˈɔtɚz/,,54,1
524,breakdown,/ˈbreɪkdaʊn/,,205,1
525,breakfast,/ˈbrekfəst/,,66,2
526,breakfast buffet,/brˈɛkfəst bˈʌfət/,,158,1
527,breakfast cereals,/brˈɛkfəst sˈɪriəlz/,,109,1
528,breakfast tray,/brˈɛkfəst trˈeɪ/,,103,1
529,breast,/brest/,,14,2
530,breast bone,/brˈɛst boʊn/,,19,1
531,breast pump,/brˈɛst pˈʌmp/,,55,1
532,breastfeed,/brˈɛstfid/,,55,1
533,breaststroke,/briststrɑk/,是,241,1
534,breathing,/brˈiðɪŋ/,,49,1
535,breech,/brˈitʃ/,,54,1
536,brick,/brik/,,189,1
537,bridge,/bridʒ/,,17,5
538,bridle path,/brˈaɪdəl pˈæθ/,,265,1
539,brie,/brˈi/,,144,1
540,briefcase,/ˈbriːfkeɪs/,,39,1
541,briefs,/briːfs/,,35,1
542,brioche,/brˌioʊʃ/,,159,1
543,broad bean,/brˈɔd bˈin/,,124,1
544,broad beans,/brˈɔd bˈinz/,,133,1
545,broadcast,/ˈbrɑːdkæst/,,180,2
546,broccoli,/ˈbrɑkəli/,,125,1
547,brogue,/brɑɡʌɛ/,是,39,1
548,bronze,/brɑnz/,,237,1
549,brooch,/brˈutʃ/,,38,1
550,broom,/bruːm/,,79,1
551,brother,/ˈbrʌðə/,,24,1
552,brother-in-law,/brˈʌðɚɪnlˌɔ/,,25,1
553,browband,/broʊbænd/,是,244,1
