No.,English,中文,拼音,中文+拼音
89,shoulder blade,肩胛骨,jiānjiǎgǔ,肩胛骨 jiānjiǎgǔ
90,kneecap,髌骨,bìngǔ,髌骨 bìngǔ
91,skull,颅骨,lúgǔ,颅骨 lúgǔ
92,thoracic vertebrae,胸椎,xiōngzhuī,胸椎 xiōngzhuī
93,lumbar vertebrae,腰椎,yāozhuī,腰椎 yāozhuī
94,fibula,腓骨,féigǔ,腓骨 féigǔ
95,ulna,尺骨,chǐgǔ,尺骨 chǐgǔ
96,pelvis,骨盆,gǔpén,骨盆 gǔpén
97,breast bone,胸骨,xiōnggǔ,胸骨 xiōnggǔ
98,humerus,肱骨,gōnggǔ,肱骨 gōnggǔ
99,cartilage,软骨,ruǎngǔ,软骨 ruǎngǔ
100,spine,脊椎,jǐzhuī,脊椎 jǐzhuī
101,collar bone,锁骨,suǒgǔ,锁骨 suǒgǔ
102,cervical vertebrae,颈椎,jǐngzhuī,颈椎 jǐngzhuī
103,tibia,胫骨,jìnggǔ,胫骨 jìnggǔ
104,radius,桡骨,ráogǔ,桡骨 ráogǔ
105,bone,骨,gǔ,骨 gǔ
106,femur,股骨,gǔgǔ,股骨 gǔgǔ
107,metacarpal,掌骨,zhǎnggǔ,掌骨 zhǎnggǔ
108,tailbone,尾椎,wěizhuī,尾椎 wěizhuī
109,metatarsal,跖骨,zhígǔ,跖骨 zhígǔ
110,windpipe,气管,qìguǎn,气管 qìguǎn
111,appendix,阑尾,lánwěi,阑尾 lánwěi
112,kidney,肾脏,shènzàng,肾脏 shènzàng
113,thyroid gland,甲状腺,jiǎzhuàngxiàn,甲状腺 jiǎzhuàngxiàn
114,stomach,胃,wèi,胃 wèi
115,heart,心脏,xīnzàng,心脏 xīnzàng
116,liver,肝脏,gānzàng,肝脏 gānzàng
117,large intestine,大肠,dàcháng,大肠 dàcháng
118,spleen,脾脏,pízàng,脾脏 pízàng
119,duodenum,十二指肠,shíèrzhǐcháng,十二指肠 shíèrzhǐcháng
120,small intestine,小肠,xiǎocháng,小肠 xiǎocháng
121,pancreas,胰脏,yízàng,胰脏 yízàng
122,lung,肺,fèi,肺 fèi
123,cardiovascular,心血管系统,xīnxuèguǎnxìtǒng,心血管系统 xīnxuèguǎnxìtǒng
124,vein,静脉,jìngmài,静脉 jìngmài
125,artery,动脉,dòngmài,动脉 dòngmài
126,reproductive,生殖系统,shēngzhíxìtǒng,生殖系统 shēngzhíxìtǒng
127,endocrine,内分泌系统,nèifēnmìxìtǒng,内分泌系统 nèifēnmìxìtǒng
128,lymphatic,淋巴系统,línbāxìtǒng,淋巴系统 línbāxìtǒng
129,respiratory,呼吸系统,hūxīxìtǒng,呼吸系统 hūxīxìtǒng
130,pharynx,咽,yān,咽 yān
131,epiglottis,会厌,huìyàn,会厌 huìyàn
132,larynx,喉头,hóutóu,喉头 hóutóu
133,throat,咽喉,yānhóu,咽喉 yānhóu
134,palate,上腭,shàngè,上腭 shàngè
135,brain,脑,nǎo,脑 nǎo
136,gland,腺,xiàn,腺 xiàn
137,diaphragm,横膈膜,hénggémó,横膈膜 hénggémó
138,urinary,泌尿系统,mìniàoxìtǒng,泌尿系统 mìniàoxìtǒng
139,oesophagus,食管,shíguǎn,食管 shíguǎn
140,vocal cords,声带,shēngdài,声带 shēngdài
141,sinus,鼻窦,bídòu,鼻窦 bídòu
142,nerve,神经,shénjīng,神经 shénjīng
143,digestive,消化系统,xiāohuàxìtǒng,消化系统 xiāohuàxìtǒng
144,tongue,舌,shé,舌 shé
145,nervous,神经系统,shénjīngxìtǒng,神经系统 shénjīngxìtǒng
146,Adam’s apple,喉结,hóujié,喉结 hóujié
147,bladder,膀胱,pángguāng,膀胱 pángguāng
148,urethra,尿道,niàodào,尿道 niàodào
149,vagina,阴道,yīndào,阴道 yīndào
150,uterus,子宫,zǐgōng,子宫 zǐgōng
151,fertile,有生殖能力的,yǒushēngzhínénglìde,有生殖能力的 yǒushēngzhínénglìde
152,menstruation,月经,yuèjīng,月经 yuèjīng
153,sexually transmitted disease,性病,xìngbìng,性病 xìngbìng
154,hormone,荷尔蒙,hé’ěrméng,荷尔蒙 hé’ěrméng
155,ovulation,排卵,páiluǎn,排卵 páiluǎn
156,infertile,不育,bùyù,不育 bùyù
157,follicle,卵泡,luǎnpāo,卵泡 luǎnpāo
158,egg,卵子,luǎnzǐ,卵子 luǎnzǐ
159,sperm,精子,jīngzǐ,精子 jīngzǐ
160,clitoris,阴蒂,yīndì,阴蒂 yīndì
161,cervix,子宫颈,zǐgōngjǐng,子宫颈 zǐgōngjǐng
162,Fallopian tube,输卵管,shūluǎnguǎn,输卵管 shūluǎnguǎn
163,ovary,卵巢,luǎncháo,卵巢 luǎncháo
164,impotent,阳痿,yángwěi,阳痿 yángwěi
165,conceive,怀孕,huáiyùn,怀孕 huáiyùn
166,intercourse,性交,xìngjiāo,性交 xìngjiāo
167,labia,阴唇,yīnchún,阴唇 yīnchún
168,rectum,直肠,zhícháng,直肠 zhícháng
169,penis,阴茎,yīnjīng,阴茎 yīnjīng
170,scrotum,阴囊,yīnnáng,阴囊 yīnnáng
171,ejaculatory duct,射精管,shèjīngguǎn,射精管 shèjīngguǎn
172,pill,避孕药,bìyùnyào,避孕药 bìyùnyào
173,vas deferens,输精管,shūjīngguǎn,输精管 shūjīngguǎn
174,foreskin,包皮,bāopí,包皮 bāopí
175,prostate,前列腺,qiánlièxiàn,前列腺 qiánlièxiàn
176,IUD,宫内避孕器,gōngnèibìyùnqì,宫内避孕器 gōngnèibìyùnqì
177,cap,子宫托,zǐgōngtuō,子宫托 zǐgōngtuō
178,seminal vesicle,精囊,jīngnáng,精囊 jīngnáng
179,condom,避孕套,bìyùntào,避孕套 bìyùntào
180,ureter,输尿管,shūniàoguǎn,输尿管 shūniàoguǎn
181,testicle,睾丸,gāowán,睾丸 gāowán
182,husband,丈夫,zhàngfu,丈夫 zhàngfu
183,granddaughter,孙女,sūnnǚ,孙女 sūnnǚ
184,son-in-law,女婿,nǚxù,女婿 nǚxù
185,aunt,姑妈,gūmā,姑妈 gūmā
186,sister,姊妹,zǐmèi,姊妹 zǐmèi
187,son,儿子,érzǐ,儿子 érzǐ
188,wife,妻子,qīzi,妻子 qīzi
189,mother,母亲,mǔqīn,母亲 mǔqīn
190,grandmother,祖母,zǔmǔ,祖母 zǔmǔ
191,grandson,孙子,sūnzi,孙子 sūnzi
192,brother,兄弟,xiōngdì,兄弟 xiōngdì
193,father,父亲,fùqīn,父亲 fùqīn
194,uncle,姑父,gūfu,姑父 gūfu
195,cousin,表兄弟,biǎoxiōngdì,表兄弟 biǎoxiōngdì
196,grandfather,祖父,zǔfù,祖父 zǔfù
197,daughter-in-law,儿媳,érxí,儿媳 érxí
198,daughter,女儿,nǚér,女儿 nǚér
199,stepson,继子,jìzǐ,继子 jìzǐ
200,stepdaughter,继女,jìnǚ,继女 jìnǚ
201,grandchildren,孙子女外孙子女,/ sūnzinǚ / wàisūnzǐnǚ,孙子女外孙子女 / sūnzinǚ / wàisūnzǐnǚ
202,grandparents,祖父母外祖父母,/ zǔfùmǔ / wàizǔfùmǔ,祖父母外祖父母 / zǔfùmǔ / wàizǔfùmǔ
203,relatives,亲戚,qīnqi,亲戚 qīnqi
204,generation,世代,shìdài,世代 shìdài
205,niece,外甥女,wàishēngnǚ,外甥女 wàishēngnǚ
206,father-in-law,岳父,yuèfù,岳父 yuèfù
207,Miss,小姐,xiǎojiě,小姐 xiǎojiě
208,Mr,先生,xiānshēng,先生 xiānshēng
209,adult,成年人,chéngniánrén,成年人 chéngniánrén
210,child,儿童,értóng,儿童 értóng
211,girl,女孩,nǚhái,女孩 nǚhái
212,man,男人,nánrén,男人 nánrén
213,stepmother,继母,jìmǔ,继母 jìmǔ
214,stepfather,继父,jìfù,继父 jìfù
215,nephew,外甥,wàishēng,外甥 wàishēng
216,mother-in-law,岳母,yuèmǔ,岳母 yuèmǔ
217,Mrs,太太,tàitài,太太 tàitài
218,teenager,青少年,qīngshàonián,青少年 qīngshàonián
219,boy,男孩,nánhái,男孩 nánhái
220,parents,父母,fùmǔ,父母 fùmǔ
221,children,孩子,háizi,孩子 háizi
222,baby,婴儿,yīng’ér,婴儿 yīng’ér
223,partner,配偶,pèiǒu,配偶 pèiǒu
224,twins,双胞胎,shuāngbāotāi,双胞胎 shuāngbāotāi
225,brother-in-law,妻妹姐夫,() qīmèi(jiě)fū,妻妹姐夫 () qīmèi(jiě)fū
226,sister-in-law,妻妹姐,() qīmèi(jiě),妻妹姐 () qīmèi(jiě)
227,woman,女人,nǚrén,女人 nǚrén
228,penfriend,笔友,bǐyǒu,笔友 bǐyǒu
229,acquaintance,熟人,shúrén,熟人 shúrén
230,manager,经理,jīnglǐ,经理 jīnglǐ
231,business partner,生意伙伴,shēngyìhuǒbàn,生意伙伴 shēngyìhuǒbàn
232,employer,雇主,gùzhǔ,雇主 gùzhǔ
233,girlfriend,女朋友,nǚpéngyǒu,女朋友 nǚpéngyǒu
234,neighbour,邻居,línjū,邻居 línjū
235,friend,朋友,péngyǒu,朋友 péngyǒu
236,fiancé,未婚夫,wèihūnfū,未婚夫 wèihūnfū
237,colleague,同事,tóngshì,同事 tóngshì
238,assistant,助理,zhùlǐ,助理 zhùlǐ
239,boyfriend,男朋友,nánpéngyǒu,男朋友 nánpéngyǒu
240,fiancée,未婚妻,wèihūnqī,未婚妻 wèihūnqī
241,employee,雇员,gùyuán,雇员 gùyuán
242,sigh (v),叹息,tànxī,叹息 tànxī
243,faint (v),晕倒,yūndǎo,晕倒 yūndǎo
244,laugh (v),笑,xiào,笑 xiào
245,cry (v),哭,kū,哭 kū
246,smile,微笑,wēixiào,微笑 wēixiào
247,worried,忧虑,yōulǜ,忧虑 yōulǜ
248,confused,困惑,kùnhuò,困惑 kùnhuò
249,confident,自信,zìxìn,自信 zìxìn
250,sad,悲伤,bēishāng,悲伤 bēishāng
251,scared,惊恐,jīngkǒng,惊恐 jīngkǒng
252,frown,皱眉,zhòuméi,皱眉 zhòuméi
253,shout (v),叫喊,jiàohǎn,叫喊 jiàohǎn
254,yawn (v),打哈欠,dǎhāqian,打哈欠 dǎhāqian
255,shy,羞涩,xiūsè,羞涩 xiūsè
256,embarrassed,尴尬,gāngà,尴尬 gāngà
257,proud,自豪,zìháo,自豪 zìháo
258,angry,愤怒,fènnù,愤怒 fènnù
259,happy,快乐,kuàilè,快乐 kuàilè
260,surprised,惊讶,jīngyà,惊讶 jīngyà
261,upset,烦躁,fánzào,烦躁 fánzào
262,shocked,震惊,zhènjīng,震惊 zhènjīng
263,excited,兴奋,xīngfèn,兴奋 xīngfèn
264,bored,无聊,wúliáo,无聊 wúliáo
265,make friends (v),交友,jiāoyǒu,交友 jiāoyǒu
266,graduate (v),毕业,bìyè,毕业 bìyè
267,fall in love (v),恋爱,liàn’ài,恋爱 liàn’ài
268,get a job (v),就业,jiùyè,就业 jiùyè
269,christening,洗礼,xǐlǐ,洗礼 xǐlǐ
270,anniversary,纪念日,jì’niànrì,纪念日 jì’niànrì
271,emigrate (v),移民,yímín,移民 yímín
272,retire (v),退休,tuìxiū,退休 tuìxiū
273,die (v),死亡,sǐwáng,死亡 sǐwáng
274,funeral,葬礼,zànglǐ,葬礼 zànglǐ
275,start school (v),入学,rùxué,入学 rùxué
276,be born (v),出生,chūshēng,出生 chūshēng
277,divorce,离婚,líhūn,离婚 líhūn
278,have a baby (v),生子,shēngzǐ,生子 shēngzǐ
279,make a will (v),立遗嘱,lìyízhǔ,立遗嘱 lìyízhǔ
280,birth certiﬁcate,出生证明,chūshēng zhèngmíng,出生证明 chūshēng zhèngmíng
281,wedding reception,婚宴,hūnyàn,婚宴 hūnyàn
282,bar mitzvah,蜜月,mìyuè honeymoon yóutài nánhái chéngrén (shísānsuì)yíshì,蜜月 mìyuè honeymoon yóutài nánhái chéngrén (shísānsuì)yíshì
283,get married (v),结婚,jiéhūn,结婚 jiéhūn
284,birthday party,生日聚会,shēngrìjùhuì,生日聚会 shēngrìjùhuì
285,ribbon,缎带,duàndài,缎带 duàndài
286,card,贺卡,hèkǎ,贺卡 hèkǎ
287,present,礼物,lǐwù,礼物 lǐwù
288,Halloween,万圣节,wànshèngjié,万圣节 wànshèngjié
289,birthday,生日,shēngrì,生日 shēngrì
290,Ramadan,斋月,zhāiyuè,斋月 zhāiyuè
291,Passover,逾越节,yúyuèjié,逾越节 yúyuèjié
292,Easter,复活节,fùhuójié,复活节 fùhuójié
293,procession,游行,yóuxíng,游行 yóuxíng
294,New Year,新年,xīnnián,新年 xīnnián
295,Christmas,圣诞节,shèngdànjié,圣诞节 shèngdànjié
296,Thanksgiving,感恩节,gǎn’ēnjié,感恩节 gǎn’ēnjié
297,Diwali,排灯节,páidēngjié,排灯节 páidēngjié
298,carnival,狂欢节嘉年华会,/ kuánghuānjié / jiā’niánhuáhuì,狂欢节嘉年华会 / kuánghuānjié / jiā’niánhuáhuì
299,appearance,外表,wàibiǎo,外表 wàibiǎo
300,skirt,裙子,qúnzi,裙子 qúnzi
301,dungarees,工装裤,gōngzhuāngkù,工装裤 gōngzhuāngkù
302,snowsuit,儿童防雪装,értóng fángxuězhuāng,儿童防雪装 értóng fángxuězhuāng
303,romper suit,连衫裤,liánshānkù,连衫裤 liánshānkù
304,apron,围兜,wéidōu,围兜 wéidōu
305,plastic pants,塑料尿裤,sùliào niàokù,塑料尿裤 sùliào niàokù
306,terry nappy,绒布尿布,róngbù niàobù,绒布尿布 róngbù niàobù
307,popper,摁扣,ènkòu,摁扣 ènkòu
308,t-shirt,恤衫,T Txùshān,恤衫 T Txùshān
309,sunhat,遮阳帽,zhēyángmào,遮阳帽 zhēyángmào
310,sleepsuit,婴儿睡衣,yīng’érshuìyī,婴儿睡衣 yīng’érshuìyī
311,booties,婴儿鞋,yīng’érxié,婴儿鞋 yīng’érxié
312,vest,背心,bèixīn,背心 bèixīn
313,shorts,短裤,duǎnkù,短裤 duǎnkù
314,mittens,婴儿手套,yīng’érshǒutào,婴儿手套 yīng’érshǒutào
315,babygro,婴儿连脚裤,yīng’ér liánjiǎokù,婴儿连脚裤 yīng’ér liánjiǎokù
316,bib,围嘴,wéizuǐ,围嘴 wéizuǐ
317,disposable nappy,一次性尿布,yícìxìng niàobù,一次性尿布 yícìxìng niàobù
318,natural ﬁbre,天然纤维,tiānrán xiānwéi,天然纤维 tiānrán xiānwéi
319,synthetic,合成的,héchéngde,合成的 héchéngde
320,hood,风帽,fēngmào,风帽 fēngmào
321,trainers,运动鞋,yùndòngxié,运动鞋 yùndòngxié
322,anorak,滑雪衫,huáxuěshān,滑雪衫 huáxuěshān
323,duffel coat,粗呢外套,cūní wàitào,粗呢外套 cūní wàitào
324,autumn,秋天,qiūtiān,秋天 qiūtiān
325,summer,夏天,xiàtiān,夏天 xiàtiān
326,scarf,围巾,wéijīn,围巾 wéijīn
327,logo,标识,biāoshí,标识 biāoshí
328,dressing gown,室内便袍,shìnèi biànpáo,室内便袍 shìnèi biànpáo
329,sandals,凉鞋,liángxié,凉鞋 liángxié
330,tracksuit,运动服,yùndòngfú,运动服 yùndòngfú
331,leggings,儿童保暖裤,értóngbǎonuǎnkù,儿童保暖裤 értóngbǎonuǎnkù
332,jeans,牛仔裤,niúzǎikù,牛仔裤 niúzǎikù
333,slippers,拖鞋,tuōxié,拖鞋 tuōxié
334,nightwear,睡衣,shuìyī,睡衣 shuìyī
335,winter,冬天,dōngtiān,冬天 dōngtiān
336,football strip,足球球衣,zúqiú qiúyī,足球球衣 zúqiú qiúyī
337,backpack,背包,bēibāo,背包 bēibāo
338,Is it machine washable?,这可以机洗吗,？ zhèkěyǐ jīxǐ ma?,这可以机洗吗 ？ zhèkěyǐ jīxǐ ma?
339,Will this ﬁt a two-year-old?,这适合两岁的孩子穿吗,？ zhè shìhé liǎngsuìde háizi chuān ma?,这适合两岁的孩子穿吗 ？ zhè shìhé liǎngsuìde háizi chuān ma?
340,raincoat,雨衣,yǔyī,雨衣 yǔyī
341,nightie,儿童睡衣,értóng shuìyī,儿童睡衣 értóng shuìyī
342,dress,连衣裙,liányīqún,连衣裙 liányīqún
343,wellington boots,长筒橡胶靴,chángtǒng xiàngjiāoxuē,长筒橡胶靴 chángtǒng xiàngjiāoxuē
344,collar,衣领,yīlǐng,衣领 yīlǐng
345,jacket,上装,shàngzhuāng,上装 shàngzhuāng
346,Do you have this in a larger/smaller size?,有没有大小一点儿的尺寸,/ ？ yǒuméiyǒu dà/xiǎo yìdiǎn de chǐcùn?,有没有大小一点儿的尺寸 / ？ yǒuméiyǒu dà/xiǎo yìdiǎn de chǐcùn?
347,tie,领带,lǐngdài,领带 lǐngdài
348,lining,衬里,chènlǐ,衬里 chènlǐ
349,belt,腰带,yāodài,腰带 yāodài
350,button,纽扣,niǔkòu,纽扣 niǔkòu
351,pocket,口袋,kǒudài,口袋 kǒudài
352,long,长,cháng,长 cháng
353,short,短,duǎn,短 duǎn
354,underwear,内衣裤,nèiyīkù,内衣裤 nèiyīkù
355,cuff,袖口,xiùkǒu,袖口 xiùkǒu
356,May I try this on?,我可以试穿一下吗,？ wǒ kěyǐ shìchuān yíxià ma?,我可以试穿一下吗 ？ wǒ kěyǐ shìchuān yíxià ma?
357,business suit,西装,xīzhuāng,西装 xīzhuāng
358,buttonhole,扣眼儿,kòuyǎn’ér,扣眼儿 kòuyǎn’ér
359,shoes,皮鞋,píxié leather,皮鞋 píxié leather
360,coat,外套,wàitào,外套 wàitào
361,trousers,裤子,kùzi,裤子 kùzi
362,lapel,翻领,fānlǐng,翻领 fānlǐng
363,shirt,衬衫,chènshān,衬衫 chènshān
364,cardigan,羊毛衫,yángmáoshān,羊毛衫 yángmáoshān
365,briefs,三角内裤,sānjiǎonèikù,三角内裤 sānjiǎonèikù
366,sweatpants,运动裤,yùndòngkù,运动裤 yùndòngkù
367,boxer shorts,短衬裤,duǎnchènkù,短衬裤 duǎnchènkù
368,pyjamas,睡衣,shuìyī,睡衣 shuìyī
369,waistcoat,马甲,mǎjiǎ,马甲 mǎjiǎ
370,sports jacket,粗呢夹克,cūníjiákè,粗呢夹克 cūníjiákè
371,socks,袜子,wàzi,袜子 wàzi
372,sweatshirt,运动衫,yùndòngshān,运动衫 yùndòngshān
373,sweater,套头毛衣,tàotóumáoyī,套头毛衣 tàotóumáoyī
374,round neck,圆领,yuánlǐng,圆领 yuánlǐng
375,blazer,休闲上衣,xiūxián shàngyī,休闲上衣 xiūxián shàngyī
376,casual wear,便装,biànzhuāng,便装 biànzhuāng
377,windcheater,防风夹克,fángfēngjiákè,防风夹克 fángfēngjiákè
378,v-neck,型领,v Vxínglǐng,型领 v Vxínglǐng
379,sleeveless,无袖,wúxiù,无袖 wúxiù
380,knee-length,及膝长,jíxī cháng,及膝长 jíxī cháng
381,blouse,女士衬衫,nǚshì chènshān,女士衬衫 nǚshì chènshān
382,strapless,无肩带,wújiāndài,无肩带 wújiāndài
383,tights,连裤袜,liánkùwà,连裤袜 liánkùwà
384,sleeve,袖子,xiùzǐ,袖子 xiùzǐ
385,seam,缝合线,fénghéxiàn,缝合线 fénghéxiàn
386,evening dress,晚礼服,wǎnlǐfú,晚礼服 wǎnlǐfú
387,ankle length,及脚踝长,jíjiǎohuái cháng,及脚踝长 jíjiǎohuái cháng
388,neckline,领口,lǐngkǒu,领口 lǐngkǒu
389,hem,裙边,qúnbiān,裙边 qúnbiān
390,casual,便装,biànzhuāng,便装 biànzhuāng
391,negligée,女用长睡衣,nǚyòng cháng shuìyī,女用长睡衣 nǚyòng cháng shuìyī
392,camisole,紧身内衣,jǐnshēn nèiyī,紧身内衣 jǐnshēn nèiyī
393,strap,肩带,jiāndài,肩带 jiāndài
394,suspenders,吊袜带,diàowàdài,吊袜带 diàowàdài
395,train,拖裾,tuōjū,拖裾 tuōjū
396,lace,花边,huābiān,花边 huābiān
397,tailored,剪裁考究,jiǎncái kǎojiu,剪裁考究 jiǎncái kǎojiu
398,halter neck,露背装,lòubèizhuāng,露背装 lòubèizhuāng
399,underwired,内有金属丝的胸罩,() nèiyǒu jīnshǔsīde (xiōngzhào),内有金属丝的胸罩 () nèiyǒu jīnshǔsīde (xiōngzhào)
400,sports bra,运动胸罩,yùndòng xiōngzhào,运动胸罩 yùndòng xiōngzhào
401,veil,头纱,tóushā,头纱 tóushā
402,bra,胸罩,xiōngzhào,胸罩 xiōngzhào
403,stockings,长筒袜,chángtǒngwà,长筒袜 chángtǒngwà
404,basque,女式短上衣,nǚshì duǎnshàngyī,女式短上衣 nǚshì duǎnshàngyī
405,nightdress,女睡衣,nǚshuìyī,女睡衣 nǚshuìyī
406,corset,束腹,shùfù,束腹 shùfù
407,garter,松紧袜带,sōngjǐn wàdài,松紧袜带 sōngjǐn wàdài
408,shoulder pad,垫肩,diànjiān,垫肩 diànjiān
409,waistband,腰带,yāodài,腰带 yāodài
410,slip,衬裙,chènqún,衬裙 chènqún
411,knickers,女用内裤,nǚyòng nèikù,女用内裤 nǚyòng nèikù
412,bouquet,花束,huāshù,花束 huāshù
413,wedding dress,结婚礼服,jiéhūn lǐfú,结婚礼服 jiéhūn lǐfú
414,tip,尖,jiān,尖 jiān
415,string of pearls,珍珠项链,zhēnzhū xiàngliàn,珍珠项链 zhēnzhū xiàngliàn
416,buckle,腰带扣,yāodàikòu,腰带扣 yāodàikòu
417,handle,柄,bǐng,柄 bǐng
418,stone,宝石,bǎoshí,宝石 bǎoshí
419,clasp,链扣,liànkòu,链扣 liànkòu
420,chain,链子,liànzi,链子 liànzi
421,brooch,胸针,xiōngzhēn,胸针 xiōngzhēn
422,umbrella,伞,sǎn,伞 sǎn
423,hat,礼帽,lǐmào,礼帽 lǐmào
424,necklace,项链,xiàngliàn,项链 xiàngliàn
425,ring,戒指,jièzhi,戒指 jièzhi
426,earring,耳环,ěrhuán,耳环 ěrhuán
427,watch,手表,shǒubiǎo,手表 shǒubiǎo
428,link,链环,liànhuán,链环 liànhuán
429,bracelet,手镯,shǒuzhuó,手镯 shǒuzhuó
430,gloves,手套,shǒutào,手套 shǒutào
431,handkerchief,手帕,shǒupà,手帕 shǒupà
432,pendant,项链坠,xiàngliànzhuì,项链坠 xiàngliànzhuì
433,tie-pin,领带夹,lǐngdàijiá,领带夹 lǐngdàijiá
434,cufflink,袖扣,xiùkòu,袖扣 xiùkòu
435,bow tie,领结,lǐngjié,领结 lǐngjié
436,walking boot,步行靴,bùxíngxuē,步行靴 bùxíngxuē
437,handles,提手,tíshǒu,提手 tíshǒu
438,lace-up,系带鞋,xìdàixié,系带鞋 xìdàixié
439,purse,钱包,qiánbāo,钱包 qiánbāo
440,briefcase,公文包,gōngwénbāo,公文包 gōngwénbāo
441,holdall,旅行袋,lǚxíngdài,旅行袋 lǚxíngdài
